sequence.start,Desorb.Start.Time,CreationTime,eithertime,status,Tube,markes_n,GC_n,either_n,markes_GC,create_desorb,verdict,FileName,sample,user,FullName,id,fuzzy_n,desorb.Start.diff
2021-06-24T07:57:16Z,2021-06-24T15:02:38Z,2021-06-24T15:01:06Z,2021-06-24T15:01:06Z,Desorbed NA,1,1,NA,1,NA,92,,Bake _T1_06242021.qgd,,Blank,C:/GCMSsolution/Data/Project1/RMBL Data/Bakeout 2019/Bake _T1_06242021.qgd,bdc31f09-4249-4eab-8e50-2fc79bd0c6f4,1,NA
2021-06-24T07:57:16Z,2021-06-24T15:33:05Z,NA,2021-06-24T15:33:05Z,Desorbed NA,2,2,NA,2,NA,NA,,NA,,NA,NA,bdc31f09-4249-4eab-8e50-2fc79bd0c6f4,1,30.45
2021-06-24T11:11:13Z,2021-06-24T18:17:12Z,2021-06-24T18:21:31Z,2021-06-24T18:17:12Z,Desorbed NA,2,1,NA,1,NA,259,,STD3uL0.01_06242021.qgd,,Standards,C:/GCMSsolution/Data/Project1/Campbell RMBL Data/Test instrument runs/STD3uL0.01_06242021.qgd,be8c757c-74e9-48e5-afe3-5b6bc367d486,1,164.11666666666667
2021-06-24T11:49:52Z,2021-06-24T18:54:31Z,2021-06-24T19:00:10Z,2021-06-24T18:54:31Z,Desorbed NA,2,1,NA,1,NA,339,,STD3uL0.1originallymisnamed_06242021.qgd,,Standards,C:/GCMSsolution/Data/Project1/Campbell RMBL Data/Test instrument runs/STD3uL0.1originallymisnamed_06242021.qgd,b92f23a3-23ee-46f4-b1e0-7e294657f5d4,1,37.31666666666667
2021-06-24T12:29:18Z,2021-06-24T19:33:58Z,NA,2021-06-24T19:33:58Z,Desorbed NA,9,1,NA,1,NA,NA,,NA,,NA,NA,826f382f-9202-4797-8090-3ad6b206b791,1,39.45
2021-06-24T13:22:19Z,2021-06-24T20:28:39Z,2021-06-24T20:32:22Z,2021-06-24T20:28:39Z,Desorbed NA,3,1,NA,1,NA,223,,Bakeout_20210624_Tube_3.qgd,,Blank,C:/GCMSsolution/Data/Project1/Campbell RMBL Data/Test instrument runs/Bakeout_20210624_Tube_3.qgd,98ee7010-ecdf-4d51-bd81-3044059610e1,1,54.68333333333333
2021-06-24T13:22:19Z,2021-06-24T20:59:06Z,NA,2021-06-24T20:59:06Z,Desorbed NA,4,2,NA,2,NA,NA,,NA,,NA,NA,98ee7010-ecdf-4d51-bd81-3044059610e1,1,30.45
2021-06-24T13:22:19Z,2021-06-24T21:30:18Z,2021-06-24T21:15:17Z,2021-06-24T21:15:17Z,Desorbed NA,5,3,NA,3,NA,901,,Bakeout_20210624_Tube_4.qgd,,Blank,C:/GCMSsolution/Data/Project1/Campbell RMBL Data/Test instrument runs/Bakeout_20210624_Tube_4.qgd,98ee7010-ecdf-4d51-bd81-3044059610e1,1,31.2
2021-06-24T13:22:19Z,2021-06-24T22:01:47Z,2021-06-24T21:46:38Z,2021-06-24T21:46:38Z,Desorbed NA,6,4,NA,4,NA,909,,Bakeout_20210624_Tube_5.qgd,,Blank,C:/GCMSsolution/Data/Project1/Campbell RMBL Data/Test instrument runs/Bakeout_20210624_Tube_5.qgd,98ee7010-ecdf-4d51-bd81-3044059610e1,1,31.483333333333334
2021-06-24T13:22:19Z,2021-06-24T22:33:20Z,2021-06-24T22:18:00Z,2021-06-24T22:18:00Z,Desorbed NA,7,5,NA,5,NA,920,,Bakeout_20210624_Tube_6.qgd,,Blank,C:/GCMSsolution/Data/Project1/Campbell RMBL Data/Test instrument runs/Bakeout_20210624_Tube_6.qgd,98ee7010-ecdf-4d51-bd81-3044059610e1,1,31.55
