sequence.start,Desorb.Start.Time,CreationTime,eithertime,status,Tube,markes_n,GC_n,either_n,markes_GC,create_desorb,verdict,FileName,sample,user,FullName,id,fuzzy_n,desorb.Start.diff
2026-06-16T11:40:20Z,2026-06-16T18:47:48Z,NA,2026-06-16T18:47:48Z,Desorbed NA,1,1,NA,1,NA,NA,,NA,,NA,NA,404ba468-168f-4b56-a5f9-653ceb3308c6,1,NA
2026-06-19T09:27:45Z,2026-06-19T16:32:29Z,2026-06-19T16:26:37Z,2026-06-19T16:26:37Z,Desorbed NA,1,1,1,1,0,352,,blank1_6192026_01.qgd,,NA,C:/GCMSsolution/Data/Project1/Campbell RMBL Data/Test instrument runs/blank1_6192026_01.qgd,f826818e-a98e-4791-a1d7-214695a82a61,1,4184.683333333333
2026-06-19T09:27:45Z,2026-06-19T17:03:28Z,2026-06-19T17:03:30Z,2026-06-19T17:03:28Z,NA Leak Test Pressurise Failed,2,2,2,2,0,2,,blank2_6192026_02.qgd,,NA,C:/GCMSsolution/Data/Project1/Campbell RMBL Data/Test instrument runs/blank2_6192026_02.qgd,f826818e-a98e-4791-a1d7-214695a82a61,1,30.983333333333334
2026-06-19T09:27:45Z,2026-06-19T17:34:27Z,2026-06-19T17:34:29Z,2026-06-19T17:34:27Z,Desorbed NA,3,3,3,3,0,2,,blank3_6192026_03.qgd,,NA,C:/GCMSsolution/Data/Project1/Campbell RMBL Data/Test instrument runs/blank3_6192026_03.qgd,f826818e-a98e-4791-a1d7-214695a82a61,1,30.983333333333334
2026-06-19T09:27:45Z,2026-06-19T18:05:50Z,2026-06-19T18:06:19Z,2026-06-19T18:05:50Z,Desorbed NA,4,4,4,4,0,29,,blank4_6192026_04.qgd,,NA,C:/GCMSsolution/Data/Project1/Campbell RMBL Data/Test instrument runs/blank4_6192026_04.qgd,f826818e-a98e-4791-a1d7-214695a82a61,1,31.383333333333333
2026-06-19T09:27:45Z,2026-06-19T18:38:11Z,2026-06-19T18:38:47Z,2026-06-19T18:38:11Z,Desorbed NA,5,5,5,5,0,36,,blank5_6192026_05.qgd,,NA,C:/GCMSsolution/Data/Project1/Campbell RMBL Data/Test instrument runs/blank5_6192026_05.qgd,f826818e-a98e-4791-a1d7-214695a82a61,1,32.35
2026-06-19T12:13:20Z,2026-06-19T19:17:44Z,2026-06-19T19:12:33Z,2026-06-19T19:12:33Z,Desorbed NA,3,1,1,1,0,311,,DC_STD3uL0.0001_061926_6192026_01.qgd,,Standards,C:/GCMSsolution/Data/Project1/Campbell RMBL Data/Test instrument runs/DC_STD3uL0.0001_061926_6192026_01.qgd,72b518cd-7be8-4f40-a753-adc16c3d985a,1,39.55
2026-06-19T12:13:20Z,NA,NA,NA,NA NA,4,2,NA,2,NA,NA,,NA,,NA,NA,72b518cd-7be8-4f40-a753-adc16c3d985a,1,NA
2026-06-19T12:13:20Z,2026-06-19T19:48:13Z,2026-06-19T19:48:39Z,2026-06-19T19:48:13Z,Desorbed NA,5,3,2,2,1,26,,DC_STD3uL0.001_061926_6192026_02.qgd,,Standards,C:/GCMSsolution/Data/Project1/Campbell RMBL Data/Test instrument runs/DC_STD3uL0.001_061926_6192026_02.qgd,72b518cd-7be8-4f40-a753-adc16c3d985a,1,NA
2026-06-19T12:13:20Z,2026-06-19T20:21:18Z,2026-06-19T20:21:48Z,2026-06-19T20:21:18Z,Desorbed NA,6,4,3,3,1,30,,DC_STD3uL0.01_061926_6192026_03.qgd,,Standards,C:/GCMSsolution/Data/Project1/Campbell RMBL Data/Test instrument runs/DC_STD3uL0.01_061926_6192026_03.qgd,72b518cd-7be8-4f40-a753-adc16c3d985a,1,33.083333333333336
