index,sequence.start,Desorb.Start.Time,CreationTime,eithertime,status,Tube,markes_n,GC_n,either_n,markes_GC,create_desorb,verdict,FileName,sample,user,FullName,id,fuzzy_n,desorb.Start.diff
1,2017-06-20T18:38:04Z,NA,NA,NA,NA NA,NA,1,NA,1,NA,NA,startup,NA,,,NA,6e5d79fc-eeb2-41c2-afb8-06ef46d981c6,1,NA
2,2017-06-22T11:34:58Z,NA,NA,NA,NA NA,NA,1,NA,1,NA,NA,startup,NA,,,NA,ea4e78f4-0f5a-413b-8ae7-61c1e03f173a,1,NA
3,2017-06-22T11:36:29Z,2017-06-22T18:41:30Z,NA,2017-06-22T18:41:30Z,NA NA,NA,1,NA,1,NA,NA,startup,NA,,,NA,5d2a9a16-1090-46b4-b654-42ca07e1f8e5,1,NA
4,2017-06-22T12:21:52Z,2017-06-22T19:24:28Z,2017-06-22T19:31:15Z,2017-06-22T19:24:28Z,NA NA,NA,1,NA,1,NA,407,startup,Markes test 3.qgd,,Blank,C:/GCMSsolution/Data/Project1/RMBL Data/Markes test 3.qgd,bfc9f756-dd48-4a54-a9ac-73df346b52b3,1,2578
5,2017-06-22T13:23:08Z,2017-06-22T19:56:53Z,NA,2017-06-22T19:56:53Z,NA NA,NA,1,NA,1,NA,NA,startup,NA,,,NA,e2b14105-a5fe-4de2-97ec-2fe0a2bdc6ab,1,1945
6,2017-06-22T13:24:21Z,2017-06-22T20:29:18Z,NA,2017-06-22T20:29:18Z,NA NA,NA,1,NA,1,NA,NA,startup,NA,,,NA,44a10a5b-2402-4030-b487-97a9f09676b5,1,1945
7,2017-06-22T13:41:04Z,2017-06-22T20:43:51Z,NA,2017-06-22T20:43:51Z,NA NA,NA,1,NA,1,NA,NA,startup,NA,,,NA,b38c139c-684b-4a8a-8a8a-e1091bad7fba,1,873
8,2017-06-22T13:47:02Z,2017-06-22T20:49:58Z,NA,2017-06-22T20:49:58Z,NA NA,NA,1,NA,1,NA,NA,startup,NA,,,NA,000a7a0a-ceac-4d88-8070-c401ff22178f,1,367
9,2017-06-22T15:44:02Z,2017-06-22T21:49:20Z,NA,2017-06-22T21:49:20Z,NA NA,NA,1,NA,1,NA,NA,startup,NA,,,NA,f4a558bb-bd70-459d-bc37-1acfc5d4673c,1,3562
10,2017-06-22T15:45:32Z,2017-06-22T22:48:42Z,2017-06-22T22:53:47Z,2017-06-22T22:48:42Z,NA NA,NA,1,NA,1,NA,305,startup,Markes test 4.qgd,,Blank,C:/GCMSsolution/Data/Project1/RMBL Data/Markes test 4.qgd,5a643b88-e3f0-425b-980c-7010b1e1e292,2,3562
11,2017-06-22T15:45:32Z,2017-06-22T22:48:42Z,2017-06-22T23:04:16Z,2017-06-22T22:48:42Z,NA NA,NA,1,NA,1,NA,934,startup,Markes test 5.qgd,,Blank,C:/GCMSsolution/Data/Project1/RMBL Data/Markes test 5.qgd,5a643b88-e3f0-425b-980c-7010b1e1e292,2,0
12,2017-06-22T15:52:07Z,2017-06-22T22:55:10Z,2017-06-22T22:53:47Z,2017-06-22T22:53:47Z,NA NA,NA,1,NA,1,NA,83,startup,Markes test 4.qgd,,Blank,C:/GCMSsolution/Data/Project1/RMBL Data/Markes test 4.qgd,47fa3073-8cb7-4eff-ad87-0c26abe7ef1c,2,388
13,2017-06-22T15:52:07Z,2017-06-22T22:55:10Z,2017-06-22T23:04:16Z,2017-06-22T22:55:10Z,NA NA,NA,1,NA,1,NA,546,startup,Markes test 5.qgd,,Blank,C:/GCMSsolution/Data/Project1/RMBL Data/Markes test 5.qgd,47fa3073-8cb7-4eff-ad87-0c26abe7ef1c,2,0
14,2017-06-22T16:01:52Z,2017-06-22T23:04:41Z,2017-06-22T22:53:47Z,2017-06-22T22:53:47Z,NA NA,NA,1,NA,1,NA,654,startup,Markes test 4.qgd,,Blank,C:/GCMSsolution/Data/Project1/RMBL Data/Markes test 4.qgd,589b1a43-e9ff-4702-971c-d85dd84e10c7,2,571
15,2017-06-22T16:01:52Z,2017-06-22T23:04:41Z,2017-06-22T23:04:16Z,2017-06-22T23:04:16Z,NA NA,NA,1,NA,1,NA,25,startup,Markes test 5.qgd,,Blank,C:/GCMSsolution/Data/Project1/RMBL Data/Markes test 5.qgd,589b1a43-e9ff-4702-971c-d85dd84e10c7,2,0
16,2017-06-22T16:47:37Z,2017-06-22T23:50:27Z,2017-06-22T23:48:30Z,2017-06-22T23:48:30Z,NA NA,NA,1,NA,1,NA,117,startup,Iaggflrtest06222017.qgd,,,C:/GCMSsolution/Data/Project1/RMBL Data/Iaggflrtest06222017.qgd,9290985c-3883-47c3-82d6-7cec936b01ee,1,2746
17,2017-06-30T10:45:25Z,2017-06-26T20:56:06Z,NA,2017-06-26T20:56:06Z,NA NA,NA,1,NA,1,NA,NA,startup,NA,,,NA,49749a25-69de-474f-9fa2-2989f84bfe59,1,335139
18,2017-06-30T10:58:24Z,2017-06-30T18:01:45Z,NA,2017-06-30T18:01:45Z,NA NA,NA,1,NA,1,NA,NA,startup,NA,,,NA,a8cbe27d-4400-46d8-9812-3f607714bff4,1,335139
19,2017-06-30T11:56:50Z,2017-06-30T18:59:44Z,2017-06-30T18:56:03Z,2017-06-30T18:56:03Z,NA NA,NA,1,NA,1,NA,221,startup,STD3uL0.1_06302017.qgd,,Standards,C:/GCMSsolution/Data/Project1/RMBL Data/STD3uL0.1_06302017.qgd,b1e98799-b4c6-47a7-8e6d-3641e662e1d2,1,3479
20,2017-06-30T12:41:24Z,2017-06-30T19:44:19Z,2017-06-30T19:38:50Z,2017-06-30T19:38:50Z,NA NA,NA,1,NA,1,NA,329,startup,STD3uL0.01_06302017.qgd,,Standards,C:/GCMSsolution/Data/Project1/RMBL Data/STD3uL0.01_06302017.qgd,0ce8ade6-8ce0-40dd-91ea-e0a7f0b835a0,1,2675
21,2017-06-30T13:27:02Z,2017-06-30T20:29:54Z,2017-06-30T20:23:49Z,2017-06-30T20:23:49Z,NA NA,NA,1,NA,1,NA,365,startup,2017pot10D_06302017.qgd,,,C:/GCMSsolution/Data/Project1/RMBL Data/2017pot10D_06302017.qgd,ba767927-5b96-43ad-af95-b7807583fc1d,1,2735
22,2017-06-30T20:58:31Z,2017-07-01T04:01:23Z,2017-07-01T03:58:53Z,2017-07-01T03:58:53Z,NA NA,NA,1,NA,1,NA,150,startup,2017pot529N_06302017.qgd,,,C:/GCMSsolution/Data/Project1/RMBL Data/2017pot529N_06302017.qgd,8521fc43-80f3-432d-8c3c-02fc4308f662,1,27089
23,2017-07-05T13:52:29Z,2017-07-05T20:55:48Z,2017-07-05T20:52:25Z,2017-07-05T20:52:25Z,NA NA,NA,1,NA,1,NA,203,startup,Blank_07052017.qgd,,Blank,C:/GCMSsolution/Data/Project1/RMBL Data/Blank_07052017.qgd,4dfdf683-ec79-4357-a0ef-5fa20a30040e,1,406465
24,2017-07-06T06:55:46Z,2017-07-06T13:58:37Z,2017-07-06T13:56:48Z,2017-07-06T13:56:48Z,NA NA,NA,1,NA,1,NA,109,startup,2017pot770N_07062017.qgd,,,C:/GCMSsolution/Data/Project1/RMBL Data/2017pot770N_07062017.qgd,1614e9e2-f28d-47c6-8fde-4d18f867f050,1,61369
25,2017-07-06T07:36:33Z,2017-07-06T14:39:26Z,2017-07-06T14:37:34Z,2017-07-06T14:37:34Z,NA NA,NA,1,NA,1,NA,112,startup,2017pot529N_07062017.qgd,,,C:/GCMSsolution/Data/Project1/RMBL Data/2017pot529N_07062017.qgd,90d7172a-f90e-4c91-860f-c5985baf3228,1,2449
26,2017-07-07T11:54:24Z,2017-07-07T18:57:40Z,2017-07-07T18:55:17Z,2017-07-07T18:55:17Z,NA NA,NA,1,NA,1,NA,143,startup,Pstrictus685_07072017.qgd,,,C:/GCMSsolution/Data/Project1/RMBL Data/Pstrictus685_07072017.qgd,35f1db2a-9a98-4c78-8dd1-cb64f224708f,1,101894
27,2017-07-10T17:20:20Z,2017-07-09T09:42:23Z,NA,2017-07-09T09:42:23Z,NA High Pressure Leak Failure,NA,1,NA,1,NA,NA,leak-blank,NA,,,NA,ce8248fc-18c1-4862-87a8-ef4140ef9191,1,139483.5
28,2017-07-10T17:24:17Z,2017-07-11T00:27:07Z,2017-07-11T00:20:42Z,2017-07-11T00:20:42Z,NA NA,NA,1,NA,1,NA,385,startup,Blanktoclean_07102017.qgd,,Blank,C:/GCMSsolution/Data/Project1/RMBL Data/Blanktoclean_07102017.qgd,44429418-3a19-433d-a282-b97d23c659b2,1,139483.5
29,2017-07-10T18:07:26Z,2017-07-11T01:10:18Z,2017-07-11T01:08:17Z,2017-07-11T01:08:17Z,NA NA,NA,1,NA,1,NA,121,startup,Blanktoclean2_07102017.qgd,,Blank,C:/GCMSsolution/Data/Project1/RMBL Data/Blanktoclean2_07102017.qgd,6afbf856-b154-4dde-825e-0437d8343cfe,1,2591
30,2017-07-10T18:49:56Z,NA,NA,NA,NA High Pressure Leak Failure,NA,1,NA,1,NA,NA,leak-blank,NA,,,NA,da6b909a-2d6a-4c24-ac3a-4a14ee226f94,1,NA
