index,sequence.start,Desorb.Start.Time,CreationTime,eithertime,status,Tube,markes_n,GC_n,either_n,markes_GC,create_desorb,verdict,FileName,sample,user,FullName,id,fuzzy_n,desorb.Start.diff
1,2018-06-14T16:03:26Z,NA,NA,NA,NA NA,1,1,NA,1,NA,NA,,NA,,,NA,a8185f60-97d8-4d54-b3fe-5d2d005b4cb4,1,NA
2,2018-06-14T16:10:48Z,NA,NA,NA,Leak-test failure High Pressure Leak Failure,2,1,NA,1,NA,NA,,NA,,,NA,880a882b-87ef-4275-865f-ab54d6c826be,1,NA
3,2018-06-14T16:13:37Z,NA,NA,NA,NA NA,3,1,NA,1,NA,NA,,NA,,,NA,555d6ca1-d533-4865-8f1b-ec0676edc5a6,1,NA
4,2018-06-14T16:20:33Z,NA,NA,NA,NA NA,3,1,NA,1,NA,NA,,NA,,,NA,02b0653d-3646-486c-97cc-a764ad0689cd,1,NA
5,2018-06-14T16:22:01Z,NA,NA,NA,NA NA,3,1,NA,1,NA,NA,,NA,,,NA,7df1e132-5c2f-44bd-b8d2-969cd446eb3f,1,NA
6,2018-06-14T16:23:54Z,2018-06-14T23:31:13Z,2018-06-14T23:28:43Z,2018-06-14T23:28:43Z,Desorbed NA,3,1,NA,1,NA,150,,Blank_06142018.qgd,,Blank,C:/GCMSsolution/Data/Project1/RMBL Data/Bakeouts/Blank_06142018.qgd,ff5484a9-cad1-48d1-b20c-8a122dc72f92,1,NA
7,2018-06-14T16:23:54Z,2018-06-14T23:56:40Z,2018-06-15T00:07:45Z,2018-06-14T23:56:40Z,Desorbed NA,4,2,NA,2,NA,665,,Bake_06142018.qgd,,Blank,C:/GCMSsolution/Data/Project1/RMBL Data/Bakeouts/Bake_06142018.qgd,ff5484a9-cad1-48d1-b20c-8a122dc72f92,1,1527
8,2018-06-15T10:49:01Z,2018-06-15T17:52:46Z,2018-06-15T17:54:01Z,2018-06-15T17:52:46Z,Desorbed NA,1,1,NA,1,NA,75,,Blank_06152018.qgd,,Blank,C:/GCMSsolution/Data/Project1/Campbell RMBL Data/Test instrument runs/Blank_06152018.qgd,0e02a661-6f7e-46cb-8d9e-8d384429e5a1,1,64566
9,2018-06-15T10:49:01Z,2018-06-15T18:23:15Z,2018-06-15T18:29:17Z,2018-06-15T18:23:15Z,Desorbed NA,3,2,NA,2,NA,362,,STD3uL0.01_06152018.qgd,,Standards,C:/GCMSsolution/Data/Project1/Campbell RMBL Data/Test instrument runs/STD3uL0.01_06152018.qgd,0e02a661-6f7e-46cb-8d9e-8d384429e5a1,1,1829
10,2018-06-15T10:49:01Z,2018-06-15T18:55:23Z,2018-06-15T19:01:25Z,2018-06-15T18:55:23Z,Desorbed NA,4,3,NA,3,NA,362,,STD3uL0.1_06152018.qgd,,Standards,C:/GCMSsolution/Data/Project1/Campbell RMBL Data/Test instrument runs/STD3uL0.1_06152018.qgd,0e02a661-6f7e-46cb-8d9e-8d384429e5a1,1,1928
11,2018-06-15T13:16:05Z,2018-06-15T20:22:32Z,2018-06-15T20:20:40Z,2018-06-15T20:20:40Z,Desorbed NA,1,1,NA,1,NA,112,,Bake1_06152018.qgd,,Blank,C:/GCMSsolution/Data/Project1/Campbell RMBL Data/Other species - Campbell/Bake1_06152018.qgd,71101874-db60-4f3a-96e7-997f72bac227,1,5229
