Filename,a-pinene,linalool,methyl 2-hydroxybenzoate,b-caryophyllene,a-farnesene,benzaldehyde,indole,a-farnesol,(E)-hex-3-en-1-ol
STD3uL0.01_06292018.qgd,750581,15651,5030666,3075013,0,33199,4354369,2566822,1803623
STD3uL0.01_06302017.qgd,12443090,12017812,0,0,0,364184,0,0,0
STD3uL0.01_07052018.qgd,954991,2021035,1780830,926760,0,671816,595055,85719,1545132
STD3uL0.01_07062018.qgd,536835,1263324,1073117,472227,0,266437,379886,91025,948270
STD3uL0.01_07102017.qgd,7221190,9010944,15464356,6716928,834840,6093300,8520216,5913516,4568046
STD3uL0.01_07112017.qgd,13624368,24326468,28980606,11016374,0,10561998,17856762,19736152,9654842
STD3uL0.01_07122018.qgd,11665536,22761140,19665729,13066538,4640876,7537040,0,109256051,17327400
STD3uL0.01_07152018.qgd,14828774,16293555,13548305,6688198,0,6435086,4198356,2659416,10233564
STD3uL0.01_07242017.qgd,0,0,0,0,0,0,0,9129114,0
STD3uL0.01_07252017.qgd,17044826,34602934,41367738,18226316,0,16564228,14753626,2141116,15699622
STD3uL0.01_07252017anal.qgd,17044826,34602934,41367738,18226316,0,16564228,14753626,2141116,15699622
STD3uL0.01_08062018.qgd,3692146,8753077,6407624,4157980,309344,2536629,2097408,1413701,7250650
STD3uL0.01_08072018.qgd,6423409,16402505,15135073,8167241,0,4973177,3643582,839741,13063703
STD3uL0.01_08182018.qgd,5357043,12421548,9132034,6313617,0,3272676,1103558,1132344,10354942
STD3uL0.01_09032018.qgd,7669251,19682241,15862653,8892851,0,5282663,3648175,0,15419063
STD3uL0.01_2018fresh_6212019_04.qgd,7841610,0,24795055,15653163,0,11571220,0,963701,20910122
STD3uL0.01_2018old_6212019_05.qgd,7856130,22937371,20250416,12664061,0,8782619,0,3649266,18805236
STD3uL0.012018_06162018.qgd,354737,4702389,860280,737374,0,691975,0,587006,431141
Std3uL0.01Aug24_0.01A_08242018.qgd,8730284,20878168,17491072,9655796,0,6018595,4556411,1960847,16882888
Std3uL0.01Aug24_0.01B_08242018.qgd,6647491,18149279,13583045,8312894,0,5502281,3842311,11284874,14834665
Std3uL0.01Aug24_0.01C_08242018.qgd,8948283,20815023,16853683,9170591,0,5057641,4262545,15882980,16286885
STD3uL0.01cmpd5_06232018.qgd,1367159,0,5354384,1307191,0,115505,4733681,1583350,2288761
STD3uL0.01DRCrep1_6202019_07.qgd,2867832,31411206,17490239,5755466,0,486793,0,0,8652593
STD3uL0.01DRCrep2_6202019_14.qgd,3796414,35970872,22732948,6942749,0,897308,0,1033201,11220511
STD3uL0.01JPrep1_6202019_08.qgd,4583560,0,21245276,7325223,0,0,0,300727,10277428
STD3uL0.01JPrep2_6202019_15.qgd,3854732,31431198,18270726,6222531,0,467783,0,624725,9743583
STD3uL0.01new_06162018.qgd,1597088,13951966,33574839,6088211,0,3312824,5630682,15986581,3578594
STD3uL0.01redo_06232018.qgd,562516,1190731,1095556,645134,0,387576,653656,2852563,984270
STD3uL0.01rep_07122018.qgd,46567899,102878505,87920624,73778110,6911350,32876165,27950906,1613693,94774818
STD3uL0.01rep_07252017.qgd,0,0,0,389638,0,0,735794,11862672,0
STD3uL0.01rep1_06192019.qgd,649743,7001442,4381401,1082256,0,1002482,0,2619677,1504340
STD3uL0.01rep2_06192019.qgd,11621633,0,55464100,25751699,0,0,1105933,2294045,29619693
STD3uL0.01rep2_07122018.qgd,12029382,27556141,20392980,14786767,1388348,7141958,6716814,499265,20783975
STD3uL0.01rep2_08062018.qgd,0,0,0,83137,0,0,0,3570627,0
STD3uL0.01rep2_08072018.qgd,5513308,12521321,10709919,7138174,0,3943890,1605725,52689533,10644407
STD3uL0.01Tendeg_08092018.qgd,5721888,828181,13007665,8882043,0,418727,6808874,0,7091574
STD3uL0.1_06152018.qgd,1779191,9926315,1639018,1699455,0,1653433,1046088,85487,1768405
STD3uL0.1_06192019.qgd,14884942,123599918,27610752,11224997,2001986,434819,53749017,617601,55101046
STD3uL0.1_06202019.qgd,15050063,96431600,63300006,32500109,966627,723938,18057007,799984,45875413
STD3uL0.1_06232018.qgd,1551423,7091869,7110626,3302912,0,1818002,2186014,359068,4861595
STD3uL0.1_06272018.qgd,1414657,7080438,5864335,3318332,17579,1227239,2623301,44700,4287899
STD3uL0.1_06302017.qgd,69630726,151485372,0,0,0,2366434,0,0,0
STD3uL0.1_06302018.qgd,2142006,12332870,11127983,6432155,0,2485983,4077282,0,8800821
STD3uL0.1_07052018.qgd,2096632,5549677,5491698,0,86204,1311473,2599795,187452,4850033
STD3uL0.1_07062018.qgd,3659089,6625706,5674913,3094847,70132,1535572,1920266,382631,5732713
STD3uL0.1_07102017.qgd,60849524,67172576,98029950,36263528,3268642,40521334,66035750,57179684,31128702
STD3uL0.1_07122018.qgd,6718950,581098,11995152,10243845,915437,938914,7020539,24791606,6033785
STD3uL0.1_07242017.qgd,50196368,141355850,158237980,78775954,0,62437148,90846144,0,65642652
STD3uL0.1_08062018.qgd,25185819,93182361,72143362,57613226,1179427,28657232,35012796,537288,86799485
STD3uL0.1_08072018.qgd,25800005,111084145,98340997,62427449,2134177,30374894,48837096,6623523,91661305
STD3uL0.1_09032018.qgd,20441482,119721653,94854094,57773804,1621148,33981079,43763147,2081853,117160757
STD3uL0.1_2018fresh_6212019_06.qgd,25797208,97030419,79928545,0,2850640,37213979,28437834,9510511,92077605
STD3uL0.12018_06162018.qgd,2330431,42283526,8891413,8270214,0,4673749,5400708,867648,4744739
Std3uL0.1Aug24_0.1A_08242018.qgd,42562478,176605903,154119664,113963069,3416813,58240943,72092433,13875213,168586754
Std3uL0.1Aug24_0.1B_08242018.qgd,49344110,174933247,146148740,110252599,3527299,57473827,70891894,168135450,167006472
Std3uL0.1Aug24_0.1C_08242018.qgd,48860290,181182584,161923724,127264627,3757611,62184775,73507597,168532943,173825670
STD3uL0.1cmpd5_06232018.qgd,330777,0,1387828,611803,0,58136,198983,834583,385517
STD3uL0.1new_06162018.qgd,3020619,48376409,98639515,0,69994,12329294,17540745,3243499,14602406
STD3uL0.1redo_06232018.qgd,1786744,6683200,6292246,3189086,0,1464412,2808751,131954,4164768
STD3uL0.1redo_07052018.qgd,3165408,7945620,7507720,3878515,92300,1723046,2699696,457830,5510089
STD3uL0.1rep_06232018.qgd,1746944,6585402,5691691,3372971,0,1350191,1463153,473625,3612223
STD3uL0.1rep_07242017.qgd,65677136,253481554,287514932,143160660,1198400,103291204,128237980,102912656,106478414
STD3uL0.1rep1_6202019_09.qgd,18295461,134646669,85577215,0,0,0,10930115,4985691,64740518
STD3uL0.1rep2_06192019.qgd,12916190,0,0,37319334,0,0,0,0,50199498
STD3uL0.1rep2_6202019_16.qgd,18609933,128024847,74163349,0,624333,0,2166678,1860415,51944264
STD3uL0.1rep3_06192019.qgd,13547151,44540188,80659915,95063603,0,0,101374341,13749000,51392966
STD3uL0.1rep4_06192019.qgd,21151875,147504111,102337068,5458976,0,1177700,64551852,6443641,75369780
STD3uL0.1Tendeg_08092018.qgd,31759843,1436959,88850781,67120456,0,542091,75270771,0,49613425
STD4imix3uL0.0001_09032018.qgd,0,0,78447,0,0,471633,0,211591,0
STD4imix3uL0.0001rep_09032018.qgd,0,0,168038,0,0,282835,0,159384,0
STD4imix3uL0.001_09032018.qgd,74289,71462,161719,21623,0,377379,0,165321,114463
STD4imix3uL0.001rep_09032018.qgd,0,0,88668,0,0,319070,0,149007,0
STD4imix3uL0.01_09032018.qgd,0,0,67805,0,0,599050,4225850,0,0
STD4imix3uL0.01rep_09032018.qgd,0,0,225288,0,0,559385,4231615,0,0
STD4imix3uL0.1_09032018.qgd,98028,317189,253799,0,0,770514,44215744,0,535122
STD4imix3uL0.1rep_09032018.qgd,0,0,67867,0,0,823100,39079311,0,0
STD4mix3uL0.01_08252018.qgd,0,0,0,0,0,0,0,0,0
STD4mix3uL0.01retry_08252018.qgd,0,0,112071,0,0,376993,0,0,0
STD5uL0.01_07062018.qgd,1090872,2424315,1749904,1078799,0,703074,662655,196167,1873223
Blank_07192019.qgd,0,0,0,0,0,0,0,0,0
STDs3uL0.01_07192019.qgd,3470424,41778590,16866995,8111117,0,327494,0,0,5423419
STDs3uL0.01280_07192019.qgd,4910667,90916387,49684220,17234264,0,860958,0,10442593,18308845
STDs3uL0.015flow_07192019.qgd,2046723,26239016,14038716,6576102,0,227621,0,9066667,2920900
STDs3uL0.01rep2_07192019.qgd,4736043,95632926,49796545,17293910,0,883337,1848383,3696542,18766526
