Filename,a-pinene,linalool,methyl 2-hydroxybenzoate,b-caryophyllene,a-farnesene,benzaldehyde,indole,a-farnesol,(E)-hex-3-en-1-ol
STD3uL0.01D2Septrep1_9282022_07.qgd,1474996,5646829,3029123,5288597,1231240,211612,5159746,0,3132502
STD3uL0.01D2Septrep2_9282022_08.qgd,1533019,5804899,3378130,5515913,1444260,233220,5433270,0,2686985
STD3uL0.01D2Septrep3_9282022_09.qgd,1423807,6298340,3403278,6485372,1885043,155125,6328849,0,3457829
Blank1_6202023_01.qgd,0,0,0,0,0,460409,0,0,0
Blank2_6202023_11.qgd,0,246348,0,879899,0,296990,83972,885747,245075
Blank3_6202023_12.qgd,0,0,0,130131,0,81809,0,355730,22475
STD3uL0.0001rep1_6202023_02.qgd,286088,386034,0,212658,0,1356298,0,2140143,0
STD3uL0.0001rep2_6202023_03.qgd,0,0,0,437355,0,0,0,0,0
STD3uL0.0001rep3_6202023_04.qgd,0,0,0,0,0,0,0,0,0
STD3uL0.001rep1_6202023_05.qgd,1838947,7380536,6445877,7488438,3759340,2023375,4458029,12549000,3693105
STD3uL0.001rep2_6202023_06.qgd,1635142,8849548,0,8449441,0,3780115,0,12194835,3887240
STD3uL0.001rep3_6202023_07.qgd,1249045,7211482,5312951,7004498,1922075,1833252,5698106,10077043,3179701
STD3uL0.01rep1_6202023_08.qgd,2622973,10119734,7852089,12436601,4786173,2916193,6405969,10465620,5380126
STD3uL0.01rep2_6202023_09.qgd,5060766,30503185,28105842,49887648,14815240,6714338,33437680,53785678,20648816
STD3uL0.01rep3_6202023_10.qgd,7566427,49307849,41183970,55501803,16313507,0,34485421,57991861,23853588
